condition,view,feature_name,mean_importance_across_seeds,mean_rank,std_rank,topk_frequency,is_topk_shap,has_strict_feature_to_label_edge,strict_consistency_type,strict_evidence_strength,edge_source,notes
Bearing_20_0,channel,ch2,0.17612272677,2.2,0.748331477355,1.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_20_0,channel,ch3,0.158748742023,4.2,2.22710574513,0.400000,False,True,low_shap_with_strict_causal_support_underused_feature,strong,PC_Datasets/Seed_49/Bearing_20_0.csv,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Bearing_20_0,channel,ch4,0.165225660145,3.2,1.93907194297,0.600000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_20_0,channel,ch6,0.167790214483,3.4,1.35646599663,0.400000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_20_0,channel,ch7,0.159218673577,5,0.632455532034,0.000000,False,True,low_shap_with_strict_causal_support_underused_feature,strong,PC_Datasets/Seed_49/Bearing_20_0.csv,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Bearing_20_0,channel,ch8,0.172893983002,3,1.09544511501,0.600000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Bearing_20_0,frequency,cA5,0.116339795036,5,0,0.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Bearing_20_0,frequency,cD2,0.324405027839,1,0,1.000000,True,False,high_shap_without_strict_causal_support_potential_shortcut,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Bearing_20_0,frequency,cD3,0.23229466537,2,0,1.000000,True,False,high_shap_without_strict_causal_support_potential_shortcut,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=2
Bearing_20_0,frequency,cD4,0.185917221343,3,0,1.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Bearing_20_0,frequency,cD5,0.141043290412,4,0,0.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=2
Bearing_30_2,channel,ch2,0.170781361719,2.8,0.979795897113,0.800000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch3,0.163527558659,4,2.09761769634,0.400000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch4,0.164755817352,3.4,1.8547236991,0.600000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch6,0.166522393162,3.6,1.35646599663,0.200000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch7,0.159526550182,4.8,1.16619037897,0.200000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_30_2,channel,ch8,0.174886318926,2.4,1.35646599663,0.800000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Bearing_30_2,frequency,cA5,0.116719008086,5,0,0.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_30_2,frequency,cD2,0.313855507583,1,0,1.000000,True,True,high_shap_strict_causal_support,strong,PC_Datasets/average/Bearing_30_2.csv,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Bearing_30_2,frequency,cD3,0.230642322651,2,0,1.000000,True,False,high_shap_without_strict_causal_support_potential_shortcut,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=2
Bearing_30_2,frequency,cD4,0.189863450182,3,0,1.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Bearing_30_2,frequency,cD5,0.148919711499,4,0,0.000000,False,True,low_shap_with_strict_causal_support_underused_feature,strong,PC_Datasets/average/Bearing_30_2.csv,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_20_0,channel,ch2,0.162642462904,4.2,1.16619037897,0.400000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_20_0,channel,ch3,0.165082441672,4,1.67332005307,0.200000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Gear_20_0,channel,ch4,0.169455232876,3.2,1.72046505341,0.600000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_20_0,channel,ch6,0.1622055163,4.2,1.46969384567,0.400000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_20_0,channel,ch7,0.159120354256,4,1.41421356237,0.400000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Gear_20_0,channel,ch8,0.181493991992,1.4,0.489897948557,1.000000,True,False,high_shap_without_strict_causal_support_potential_shortcut,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Gear_20_0,frequency,cA5,0.107780445416,5,0,0.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=2
Gear_20_0,frequency,cD2,0.275864807307,1,0,1.000000,True,False,high_shap_without_strict_causal_support_potential_shortcut,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_20_0,frequency,cD3,0.201676979717,3,0,1.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=2
Gear_20_0,frequency,cD4,0.249576694348,2,0,1.000000,True,False,high_shap_without_strict_causal_support_potential_shortcut,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Gear_20_0,frequency,cD5,0.165101073212,4,0,0.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_30_2,channel,ch2,0.164140654952,3.6,0.8,0.600000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_30_2,channel,ch3,0.162176045856,4.2,2.22710574513,0.400000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_30_2,channel,ch4,0.170719290684,3.2,2.03960780544,0.600000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_30_2,channel,ch6,0.161868686711,4.4,1.35646599663,0.200000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Gear_30_2,channel,ch7,0.167404735077,3.4,1.35646599663,0.400000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Gear_30_2,channel,ch8,0.17369058672,2.2,0.979795897113,0.800000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Gear_30_2,frequency,cA5,0.112799746356,5,0,0.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=0
Gear_30_2,frequency,cD2,0.289919378007,1,0,1.000000,True,False,high_shap_without_strict_causal_support_potential_shortcut,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_30_2,frequency,cD3,0.2257124468,2,0,1.000000,True,False,high_shap_without_strict_causal_support_potential_shortcut,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_30_2,frequency,cD4,0.21175449608,3,0,1.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
Gear_30_2,frequency,cD5,0.159813932757,4,0,0.000000,False,False,low_shap_without_strict_causal_support,moderate,,strict policy uses only feature_to_label edges; topk_threshold=2; label_edges=1
