candidate_type,condition,view,feature_name,shap_status,graph_support_status,paper_interpretation
strict_underused_graph_supported_candidate,Bearing_20_0,channel,ch3,low_shap,strict_feature_to_label_support,underused graph-supported feature candidate
strict_underused_graph_supported_candidate,Bearing_20_0,channel,ch7,low_shap,strict_feature_to_label_support,underused graph-supported feature candidate
strict_underused_graph_supported_candidate,Bearing_30_2,frequency,cD5,low_shap,strict_feature_to_label_support,underused graph-supported feature candidate
weak_underused_graph_supported_candidate,Bearing_20_0,channel,ch3,low_shap,strict_directed_support,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Bearing_20_0,channel,ch7,low_shap,strict_directed_support,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Bearing_20_0,channel,ch8,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Bearing_20_0,frequency,cA5,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Bearing_20_0,frequency,cD4,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Bearing_20_0,frequency,cD5,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Bearing_30_2,channel,ch8,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Bearing_30_2,frequency,cD5,low_shap,strict_directed_support,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_20_0,channel,ch2,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_20_0,channel,ch4,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_20_0,channel,ch6,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_20_0,frequency,cA5,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_20_0,frequency,cD3,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_20_0,frequency,cD5,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_30_2,channel,ch2,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_30_2,channel,ch3,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_30_2,channel,ch4,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_30_2,frequency,cD4,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
weak_underused_graph_supported_candidate,Gear_30_2,frequency,cD5,low_shap,weak_label_adjacency_only,underused graph-supported feature candidate under weak adjacency policy
