asset_path,asset_type,experiment_family,condition_or_dataset,model_or_method,result_form,contains_numeric_metrics,contains_plot_only,contains_cache_only,paper_claim_candidate,paper_use_potential,known_caveat,recommended_next_action
ModelTrain/NoAttention/SavedGraphs_6ch/Seed_*,figure_directory,baseline_training_curves,SEU four conditions,NoAttention CNN 6ch,training_curve_png,false,true,false,NoAttention CNN was trained as diagnostic backbone,supplement_candidate,plot-only training curves; no structured collaborator metric table found,Recover collaborator numeric table or formally rerun later; do not use local crop-width eval as paper result
ModelTrain/NoAttention/ConfusionAndF1/Seed_49,figure_directory,baseline_confusion_f1,SEU four conditions,NoAttention CNN 6ch,confusion_matrix_and_f1_png,false,true,false,Diagnostic model has class-level behavior visualized,supplement_candidate,only Seed_49 visible for NoAttention ConfusionAndF1; numeric report absent,Use as supplement figure candidate; request/export classification report before submission
ModelTrain/NoAttention/BaseGraphs/Seed_42,figure_directory,baseline_training_curves,SEU four conditions,NoAttention base model,training_curve_png,false,true,false,Earlier baseline training exists,background_reference,legacy/base path and only Seed_42 visible,Use only to understand collaborator history unless matched with numeric results
ModelTrain/NoAttention/SavedGraphs_4ch/Seed_42,figure_directory,channel_ablation,SEU four conditions,NoAttention CNN 4ch,training_curve_png,false,true,false,Reduced-channel diagnostic variant exists,supplement_candidate,plot-only; not central to frozen topic,Use only if author wants channel-ablation supplement
ModelTrain/NoAttention/SavedGraphs_freq/Seed_42,figure_directory,frequency_ablation,SEU four conditions,NoAttention frequency model,training_curve_png,false,true,false,Frequency-only or frequency-view diagnostic variant exists,supplement_candidate,plot-only; not central to frozen topic,Use as optional support after numeric table recovery
ModelTrain/NoAttention/CrossCondTest/Cross_condition_acc_comparison.png,figure,cross_condition,SEU cross-condition,NoAttention CNN,cross_condition_accuracy_plot,false,true,false,Cross-condition behavior was explored,risk_or_limitation,train/cross_test exact duplicate risk documented in reproducibility audit,Use only as limitation/risk note unless clean protocol is later rerun
ModelTrain/NoAttention/ModelTest_ch,figure_directory,channel_model_test,SEU four conditions,NoAttention channel test,performance_comparison_png,false,true,false,Channel-view model testing exists,supplement_candidate,plot-only; protocol unclear,Index for possible supplement; needs structured metrics before claim
ModelTrain/NoAttention/ModelTest_freq,figure_directory,frequency_model_test,SEU four conditions,NoAttention frequency test,performance_comparison_png,false,true,false,Frequency-view model testing exists,supplement_candidate,plot-only; protocol unclear,Index for possible supplement; needs structured metrics before claim
ModelTrain/AttentionAndNoAttention/SavedGraphs,figure_directory,attention_comparison,SEU four conditions,Attention vs NoAttention,training_curve_png_and_summary,false,true,false,Attention comparison was explored,supplement_candidate,not frozen as main contribution; numeric table absent,Use as supplement only if structured metrics are recovered
ModelTrain/AttentionAndNoAttention/ConfusionAndF1,figure_directory,attention_confusion_f1,SEU four conditions,Attention vs NoAttention,confusion_matrix_and_f1_png,false,true,false,Attention and no-attention class behavior can be compared,supplement_candidate,plot-only across seeds 42/49/56; no table found,Generate structured classification report later if included
ModelTrain/AttentionAndNoAttention/ChannelWeights,cache_directory,attention_weights,SEU four conditions,Attention model,channel_weight_npz,true,false,true,Attention weights exist as auxiliary interpretability asset,supplement_candidate,cache format requires parsing; not main SHAP-PC-DAG story,Use only as auxiliary comparison after conversion to table
CalculateShapValues/NoAttention/Seed_*,cache_directory,shap_noattention_cache,SEU four conditions,NoAttention CNN,SHAP_npz_cache,true,false,true,SHAP attribution values exist across five seeds,main_candidate,large cache lacks full config snapshot; width/provenance caveat exists,Use derived stability tables and selected plots; avoid rerunning now
CalculateShapValues/NoAttention/*_AnalysisGraphs,figure_directory,shap_seed_figures,SEU four conditions,NoAttention CNN,SHAP_png,false,true,false,Per-seed SHAP visual evidence exists,main_candidate,plot style may need publication redraw,Select 1-2 representative cases and all-condition summaries
CalculateShapValues/NoAttention/TotalAnalysisGraphs,figure_directory,shap_total_figures,SEU four conditions,NoAttention CNN,SHAP_summary_png,false,true,false,Channel/frequency attribution structure can be visualized,main_candidate,plot-only but backed by SHAP cache and summary table,Use as main figure candidate after style cleanup
reports/paper_evidence/shap_seed_stability_summary.csv,csv,shap_stability,SEU four conditions,NoAttention SHAP,seed_stability_table,true,false,false,SHAP rankings have multi-seed stability evidence,main_candidate,derived from existing SHAP cache; source config incomplete,Use for main attribution table
ModelTrain/NoAttention/SHAP_freq/ShapResults,cache_directory,shap_frequency_cache,SEU four conditions,NoAttention CNN,frequency_SHAP_npz,true,false,true,Frequency-view SHAP result cache exists,supplement_candidate,cache-only; relation to final summary should be checked,Use as backup/source asset for frequency attribution
PC_Datasets/Seed_49,csv_directory,pc_dataset_seed49,SEU four conditions,SHAP-weighted PC input,feature_label_csv,true,false,false,SHAP-weighted features can construct PC-DAG input,main_candidate,Seed_49 only; generation config should be recorded,Use as evidence for PC-DAG construction step
PC_Datasets/average,csv_directory,pc_dataset_average,SEU four conditions,averaged SHAP-weighted PC input,feature_label_csv,true,false,false,Average SHAP-weighted features support dual-view PC-DAG input,main_candidate,aggregation protocol should be documented,Use as preferred PC input for stable case studies
PC_Datasets/feature_distribution.png; PC_Datasets/feature_normalized_bar.png,figure,pc_feature_distribution,SEU four conditions,PC feature summary,distribution_png,false,true,false,PC feature construction has exploratory visualization,supplement_candidate,plot-only and not central,Use as supplement or method diagnostic
DAG/PC_DAG/Seed_49,figure_directory,dual_view_pcdag,SEU four conditions,PC-KCI / PC-DAG,channel_and_frequency_DAG_png,false,true,false,Dual-view PC-DAG provides graph-structure audit perspective,main_candidate,many alpha/settings; final setting must be frozen; direction policy conservative,Use selected filtered average figures for main case studies
DAG/PC_DAG/GearBox_PC_DAG*.png; DAG/PC_DAG/GearBox_PC_DAG*.pdf,figure,global_pcdag,gearbox aggregate,PC-DAG,summary_DAG_png_pdf,false,true,false,Global causal graph visualizations exist,supplement_candidate,unclear whether global graph matches final dual-view evidence,Use as background or supplement after author confirmation
reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,csv,pcdag_edge_export,SEU four conditions,PC-DAG edge export,edge_summary_table,true,false,false,PC-DAG label-related edges can be audited quantitatively,main_candidate,label_to_feature and undirected edges are weak adjacency only,Use for conservative graph-consistency claims
reports/paper_evidence/consistency/strict_feature_to_label_consistency_table.csv,csv,strict_consistency_audit,SEU four conditions,SHAP + PC-DAG,strict_consistency_table,true,false,false,Strict feature_to_label support exists for selected features,main_candidate,sparse strict support; not a broad directional causal claim,Use for strongest case-study evidence
reports/paper_evidence/consistency/adjacency_weak_consistency_table.csv,csv,weak_adjacency_audit,SEU four conditions,SHAP + PC-DAG,weak_adjacency_table,true,false,false,Attribution-graph consistency and conflict can be audited,main_candidate,weak adjacency is not causal direction,Use for main audit table under conservative wording
reports/paper_evidence/final_tables/table_shortcut_risk_candidates.csv,csv,shortcut_risk_candidates,SEU four conditions,SHAP + PC-DAG,derived_candidate_table,true,false,false,High-SHAP graph-unsupported features can flag shortcut-risk candidates,main_candidate,candidates only; no intervention confirms shortcut,Use as planning table and revise wording carefully
reports/paper_evidence/final_tables/table_underused_causal_candidates.csv,csv,underused_graph_supported_candidates,SEU four conditions,SHAP + PC-DAG,derived_candidate_table,true,false,false,Low-SHAP graph-supported features can flag underused candidates,main_candidate,underused candidate not confirmed causal mechanism,Use as case-study selection source
DAG/PureData,cache_directory,pure_signal_assets,SEU fault classes,raw/pure preprocessing,pure_data_npz,true,false,true,Pure signal assets exist for future robustness or DAG comparison,future_work,large npz caches; not organized into final evidence,Do not include now except as future extension
DAG/Noise,cache_directory,noise_signal_assets,SEU fault classes,noise preprocessing,noise_data_npz,true,false,true,Noise assets exist for robustness or causal-curve exploration,future_work,large npz caches; no final metric table,Plan future robustness only
DAG/PolyCurves,figure_directory,poly_curve_visualization,SEU fault classes,poly curve analysis,curve_png,false,true,false,Signal/feature curve visualizations can illustrate physical differences,supplement_candidate,not tied to final SHAP-PC-DAG claim,Use only for method/background visuals if needed
DAG/PolyCurves/Noise,figure_directory,noise_poly_curve_visualization,SEU fault classes,noise curve analysis,curve_png,false,true,false,Noise variant visualizations exist,background_reference,not validated as robustness experiment,Use as reference only
GNNCausal/train_curves/GNN,figure_directory,gnn_causal_training,SEU four conditions,Causal GNN,training_curve_png,false,true,false,GNN enhancement was explored,future_work,documented implementation/scaler risks; not main contribution,Keep as future work unless repaired and rerun later
GNNCausal/trained_models/GNN,model_directory,gnn_causal_models,SEU four conditions,Causal GNN,checkpoint_pth,false,false,false,GNN checkpoints exist,future_work,model artifacts without trusted metrics; do not use as evidence,Do not include in main paper
GNNCausal/*_reliable_edge.pt,cache_file,gnn_reliable_edges,SEU four conditions,Causal graph/GNN,reliable_edge_pt,false,false,true,Reliable-edge tensors exist for GNN experiment,future_work,cache-only and GNN not frozen contribution,Keep for later repair sprint
CWRU/train_curves/GNN,figure_directory,cwru_gnn_external,CWRU bearing,GNN,training_curve_png,false,true,false,CWRU external validation was explored,supplement_candidate,plot-only; no structured metrics found in current index,Use as supplement/future only after numeric results recovered
CWRU/trained_models/GNN,model_directory,cwru_gnn_models,CWRU bearing,GNN,checkpoint_pth,false,false,false,CWRU trained models exist,future_work,model-only without paper-ready results,Keep out of main contribution
CWRU/dag_figs,figure_directory,cwru_dag_figures,CWRU bearing,PC-DAG/GNN support,dag_figure_assets,false,true,false,CWRU graph figures may exist,supplement_candidate,needs manual inspection and metric linkage,Use only if external validation story is revived
Analysis/ChannelWeights.py; Analysis/test.py,script,analysis_scripts,project utility,analysis helpers,code_only,false,false,false,Analysis scripts exist but no result assets were found,background_reference,not evidence; code only,Ignore for paper evidence unless reused later
reports/paper_evidence/baseline_metrics/baseline_metrics_paper_table.csv,csv,local_crop_width_diagnostic,current local data/checkpoints,NoAttention CNN,crop_width_eval_table,true,false,false,Local crop-width eval exposes provenance/reproducibility gap,risk_or_limitation,near-random local reproduction; not collaborator paper result,Do not use as paper evidence; document only in reproducibility gap note
