claim_id,paper_claim,evidence_assets,evidence_type,current_strength,main_or_supplement,missing_piece,risk,recommended_action
C1,Multichannel wavelet tensors are the common diagnostic input representation,wavelet_dataset/*.npz; ModelTrain/NoAttention/model_train_6ch; CalculateShapValues/NoAttention,code_and_data_contract,medium,main_text,data contract/provenance should be described from collaborator protocol,current local dataset has split/cross provenance issues,Use as method premise; avoid making robustness claims from current split
C2,NoAttention CNN can serve as diagnostic backbone,ModelTrain/NoAttention/SavedGraphs_6ch; ModelTrain/NoAttention/ConfusionAndF1; collaborator historical figures,plot_results_and_checkpoints,medium_pending_numeric_table,main_text_if_numeric_recovered,numeric metrics table or collaborator-provided result table,local crop-width eval is diagnostic only and near-random,Ask collaborator for original metrics or plan formal rerun later; do not substitute crop-width result
C3,SHAP reveals channel/frequency attribution structure,CalculateShapValues/NoAttention/TotalAnalysisGraphs; CalculateShapValues/NoAttention/Seed_*; reports/paper_evidence/shap_seed_stability_summary.csv,cache_figures_structured_table,strong,main_text,publication-style figure selection/source config note,SHAP cache lacks complete config manifest,Use SHAP total graphs plus stability table as main evidence
C4,SHAP attribution has seed-stability across multiple seeds,reports/paper_evidence/shap_seed_stability_summary.csv; CalculateShapValues/NoAttention/Seed_*,structured_table,strong,main_text,final top-k formatting and figure linkage,stability is derived from existing cache not newly rerun,Use as primary attribution stability table
C5,SHAP-weighted features can construct dual-view PC-DAG inputs,PC_Datasets/Seed_49; PC_Datasets/average; PC_Datasets/feature_distribution.png,structured_csv_and_figures,strong,main_text,document generation contract and seed/average choice,aggregation protocol should be made explicit,Use PC_Datasets as method bridge from SHAP to PC-DAG
C6,Channel-view and frequency-view PC-DAG provide graph-structure audit views,DAG/PC_DAG/Seed_49; reports/paper_evidence/pcdag_edges/pcdag_edge_label_summary.csv,figures_and_edge_tables,strong_with_direction_caveat,main_text,freeze alpha/filtered/average setting,label_to_feature and undirected edges cannot be strong causal direction,Use filtered average DAGs and conservative edge policy
C7,High-SHAP but graph-unsupported features can be shortcut-risk candidates,reports/paper_evidence/final_tables/table_shortcut_risk_candidates.csv; reports/paper_evidence/consistency/adjacency_weak_consistency_table.csv,derived_structured_table,medium_strong_as_screening,main_text,select 1 clear case and align SHAP/DAG figures,candidate is not confirmed shortcut without intervention,Use screening language only
C8,Low-SHAP but graph-supported features can be underused graph-supported candidates,reports/paper_evidence/final_tables/table_underused_causal_candidates.csv; reports/paper_evidence/consistency/strict_feature_to_label_consistency_table.csv,derived_structured_table,medium,main_text_or_supplement,select concise case and avoid causal overclaim,underused is candidate interpretation,Use as secondary audit output/case study
C9,Attention comparison can support discussion but is not main contribution,ModelTrain/AttentionAndNoAttention/SavedGraphs; ModelTrain/AttentionAndNoAttention/ConfusionAndF1; ChannelWeights,plots_and_cache,medium,supplement,numeric metric table if used,attention topic can distract from frozen SHAP-PC-DAG contribution,Keep supplement-only unless ChatGPT chooses engineering comparison angle
C10,CWRU assets may support external validation but are incomplete,CWRU/train_curves/GNN; CWRU/dag_figs; CWRU/trained_models/GNN,plots_and_models,weak,supplement_or_future_work,structured metrics and protocol,currently GNN-centric and not aligned with main contribution,Keep future/supplement unless researcher provides completed CWRU result table
C11,GNN causal enhancement is exploratory future work,GNNCausal/train_curves/GNN; GNNCausal/trained_models/GNN; reports/reproducibility_audit/gnn_risk_report.md,plots_models_risk_report,weak,future_work,repair and rerun if revived,documented classifier/scaler risks,Do not include as main claim
C12,Cross-condition results should be limitation/risk not robustness evidence,ModelTrain/NoAttention/CrossCondTest; reports/reproducibility_audit/full_split_overlap_report.csv,figure_and_audit_report,strong_as_limitation,limitation_or_risk_note,clean protocol if robustness claim desired,exact duplicate risk in current split,Use only to explain why robustness claim is not emphasized
C13,Noise/pure data assets indicate possible future robustness studies,DAG/Noise; DAG/PureData; DAG/PolyCurves/Noise,cache_and_plots,weak,future_work,formal task design and metrics,not connected to final claim chain,Plan optional future robustness experiments
C14,Local crop-width-512 evaluation diagnoses provenance gap not model quality,reports/paper_evidence/baseline_metrics/baseline_metrics_paper_table.csv; reports/paper_planning/codex_local_repro_gap_note.md,diagnostic_table,diagnostic_only,limitation_or_risk_note,original collaborator baseline metrics or formal rerun,current data/checkpoint/code mismatch,Do not use as paper result; keep as local reproducibility note
